week,deviceCategory,medium,sessions,searchSessions,avgTimeOnPage,bounceRate,pageviewsPerSession,goal1Completions,avgPageLoadTime
53,desktop,(none),136169,62925,74.41652893,12.6710191,5.33042763,1015,0
53,desktop,affiliate,17761,6766,56.63448019,22.85907325,6.266707956,677,1.47472822
53,desktop,buyer,169,0,0,100,1,0,0
53,desktop,buyer_donna_home_accents,169,0,0,100,1,0,0
53,desktop,buyer_home_accents_donna,169,0,809.7366864,0,3,0,0
53,desktop,cpc,159850,66477,60.59751429,13.3331248,5.165092274,2030,4.868472813
53,desktop,email,150378,24866,104.1590711,34.42059344,3.131601697,169,3.198911243
53,desktop,home_accents_mens,169,0,7.00591716,0,2,0,0
53,desktop,jsanders,507,338,30.08597528,0,4.67061144,0,0
53,desktop,newsonline,3721,169,34.54169402,81.83284063,1.409298576,0,0
53,desktop,online,169,0,61.63562454,0,9.00591716,0,0
53,desktop,organic,331034,151562,67.56908474,13.69436372,5.53858214,4905,3.155158221
53,desktop,referral,19453,5244,73.65134855,21.73957744,4.817303244,677,0
53,desktop,social,2030,0,119.5887522,50,4.083251232,0,0
53,desktop,website,1184,169,72.82758621,57.17905405,1.857263514,0,0
53,desktop,weekly,169,169,0,0,1,0,0
53,desktop,weekly_ad_12.31,169,169,24.28716216,0,8.00591716,0,0
53,mobile,(none),472447,152746,62.79085352,28.85784014,4.119941496,1692,17.78295272
53,mobile,affiliate,82547,9811,72.58676202,54.5083407,2.975407949,338,4.434035503
53,mobile,banners,34846,8289,65.86079769,43.20438501,3.519399644,0,0
53,mobile,buyer,169,169,0,0,1,0,0
53,mobile,buyer_donna_home_accents,169,169,96.98387963,0,23.02366864,0,0
53,mobile,buyer_home_accents_steve,169,0,0,0,0,0,0
53,mobile,buyer_needle_art,169,0,0,100,1,0,0
53,mobile,buyer_needle_art_ps,169,0,0,100,1,0,0
53,mobile,buyer_papercrafting,338,338,21.83152709,0,10.00887574,0,0
53,mobile,cpc,970267,195880,66.99251114,54.16663661,2.786784462,1692,5.752648768
53,mobile,email,278089,43642,88.36834926,38.50350068,2.96350449,507,0
53,mobile,like2buy,338,0,1690.538462,50,1.5,0,0
53,mobile,newsmobile,169,169,101.9716312,0,6.00591716,0,0
53,mobile,newsonline,22836,338,56.8644751,86.66579086,1.488877211,0,0
53,mobile,online,169,169,94.19645495,0,5.00591716,0,0
53,mobile,organic,757133,215840,70.75910921,36.48341837,3.809650352,3721,3.422834442
53,mobile,project_sheet,169,0,0,100,1,0,0
53,mobile,referral,37552,5413,49.62693369,40.99115893,4.058585428,1015,0
53,mobile,shoponline,25542,12010,71.42257118,22.51585624,4.59607705,0,0
53,mobile,social,6090,1353,63.03660157,50,3.471921182,0,0
53,mobile,website,1522,507,25.63191832,44.48094612,2.222733246,0,0
53,mobile,weekly,338,0,150.1360947,50,1.5,0,0
53,mobile,weekly_ad_12.31,1861,169,104.8382806,18.16227834,5.362708221,0,0
53,tablet,(none),75612,32816,71.43459151,26.17441676,4.080529546,507,0
53,tablet,affiliate,2368,677,102.7387957,57.13682432,4.071790541,0,0
53,tablet,banners,1015,338,143.7977409,49.95073892,10.33300493,0,0
53,tablet,buyer_home_accents,169,0,77.07100592,0,3,0,0
53,tablet,buyer_home_accents_donna,169,0,26.02366864,0,2,0,0
53,tablet,cpc,83731,35184,72.4078154,17.57533052,4.935364441,507,4.296911243
53,tablet,email,97263,17085,91.73451642,41.21711237,3.754798844,846,5.050129985
53,tablet,like2buy,846,169,89.11550705,39.95271868,6.19858156,169,0
